X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8860828.59405177,5422636.10801489,643,GO-20061479945,2006/11/18 05:00:00+00,2006,November,Saturday,14,Afternoon,D23,0,1,1,West Humber-Clairville (1),-79.59817756,43.72274502,119
-8844396.18077667,5415485.43572301,644,GO-20061867769,2006/11/18 05:00:00+00,2006,November,Saturday,0,Night,D13,0,0,92,Corso Italia-Davenport (92),-79.45056268,43.67630444,120
-8850757.51526693,5421809.66930981,645,GO-20061478293,2006/11/21 05:00:00+00,2006,November,Tuesday,21,Evening,D33,0,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,121
-8836399.76000215,5412102.59306904,646,GO-20061489389,2006/11/21 05:00:00+00,2006,November,Tuesday,18,Evening,D51,0,0,75,Church-Yonge Corridor (75),-79.37872961,43.65432178,122
-8847325.39399002,5408402.79679949,647,GO-20061910911,2006/11/22 05:00:00+00,2006,November,Wednesday,16,Afternoon,D32,0,2,17,Mimico (includes Humber Bay Shores) (17),-79.47687625,43.63027025,123
-8838501.20036877,5410661.29107267,648,GO-20061505156,2006/11/22 05:00:00+00,2006,November,Wednesday,23,Evening,D14,0,1,77,Waterfront Communities-The Island (77),-79.39760717,43.64495335,124
-8819519.90805255,5436229.08856855,649,GO-20061863102,2006/11/26 05:00:00+00,2006,November,Sunday,19,Evening,D42,0,1,132,Malvern (132),-79.22709532,43.81092647,125
-8826680.89497297,5423290.91415534,650,GO-20061875024,2006/11/27 05:00:00+00,2006,November,Monday,5,Night,D42,0,1,120,Clairlea-Birchmount (120),-79.29142356,43.72699591,126
-8838087.28667212,5410320.45812453,651,GO-20061796411,2006/12/03 05:00:00+00,2006,December,Sunday,3,Night,D14,1,0,77,Waterfront Communities-The Island (77),-79.39388892,43.64273773,127
-8834098.68037393,5433125.20098726,652,GO-20061820732,2006/12/03 05:00:00+00,2006,December,Sunday,16,Afternoon,D33,0,0,47,Don Valley Village (47),-79.35805866,43.79080214,128
-8818306.69035575,5435159.15707552,653,GO-20061819420,2006/12/04 05:00:00+00,2006,December,Monday,21,Evening,D42,0,1,132,Malvern (132),-79.2161968,43.80399024,129
-8851055.71235289,5422948.5303123,654,GO-20061842553,2006/12/08 05:00:00+00,2006,December,Friday,22,Evening,D31,0,1,26,Downsview-Roding-CFB (26),-79.51038627,43.72477325,130
-8816473.60565919,5434847.94956227,655,GO-20061589728,2006/12/09 05:00:00+00,2006,December,Saturday,2,Night,D42,0,1,132,Malvern (132),-79.19972992,43.80197257,131
-8851753.24473498,5427121.42951662,656,GO-20061945284,2006/12/15 05:00:00+00,2006,December,Friday,17,Afternoon,D31,0,2,25,Glenfield-Jane Heights (25),-79.51665231,43.75185692,132
-8828417.55695299,5434643.48102562,657,GO-20061482121,2006/12/16 05:00:00+00,2006,December,Saturday,22,Evening,D52,0,1,117,L'Amoreaux (117),-79.30702426,43.80064689,133
-8816894.8731214,5429074.13066037,658,GO-20061617738,2006/12/22 05:00:00+00,2006,December,Friday,1,Night,D43,0,0,137,Woburn (137),-79.20351423,43.76452647,134
-8815990.66608589,5432204.08212514,659,GO-20061902668,2006/12/23 05:00:00+00,2006,December,Saturday,19,Evening,D43,0,2,135,Morningside (135),-79.1953916,43.78482868,135
-8837380.74186406,5411915.81050156,660,GO-20061501929,2006/12/24 05:00:00+00,2006,December,Sunday,0,Night,D14,1,0,78,Kensington-Chinatown (78),-79.38754192,43.65310778,136
-8837245.79035857,5411131.33417795,661,GO-20061961023,2006/12/24 05:00:00+00,2006,December,Sunday,0,Night,D52,0,2,77,Waterfront Communities-The Island (77),-79.38632963,43.64800878,137
-8858074.30605987,5423099.30081012,662,GO-20061490523,2006/12/26 05:00:00+00,2006,December,Tuesday,21,Evening,D23,0,1,1,West Humber-Clairville (1),-79.57343537,43.72575202,138
-8851696.39387103,5428351.89492761,663,GO-20061876931,2006/12/26 05:00:00+00,2006,December,Tuesday,23,Evening,D31,0,1,24,Black Creek (24),-79.51614161,43.75984076,139
-8851990.24281769,5428672.08044291,664,GO-20061932560,2006/12/27 05:00:00+00,2006,December,Wednesday,18,Evening,D31,1,0,24,Black Creek (24),-79.5187813,43.7619181,140
-8851321.1080377,5427062.35193744,665,GO-20061951585,2006/12/27 05:00:00+00,2006,December,Wednesday,23,Evening,D31,0,1,25,Glenfield-Jane Heights (25),-79.51277036,43.75147357,141
-8852786.13710184,5419211.43477908,666,GO-20061956337,2006/12/27 05:00:00+00,2006,December,Wednesday,20,Evening,D23,0,1,8,Humber Heights-Westmount (8),-79.52593094,43.70050771,142
-8823411.03521224,5423124.40507587,667,GO-20061441750,2006/12/29 05:00:00+00,2006,December,Friday,1,Night,D41,0,2,124,Kennedy Park (124),-79.26204991,43.72591499,143
